Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry,,,,,,,,,
ZGN,Ermenegildo Zegna N.V.,Consumer Discretionary,US Equity,Common stocks,Mid cap,2675686261,"168,695",Analyze,Apparel Manufacturing,,,,,,,,,
KTB,"Kontoor Brands, Inc.",Consumer Discretionary,US Equity,Common stocks,Mid cap,2390014385,"387,701",Analyze,Apparel Manufacturing,,,,,,,,,
HBI,Hanesbrands Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,2208845208,"10,120,946",Analyze,Apparel Manufacturing,,,,,,,,,
OXM,Oxford Industries Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,1727316052,"174,600",Analyze,Apparel Manufacturing,,,,,,,,,
LEVI,Levi Strauss & Co,Consumer Discretionary,US Equity,Common stocks,Small cap,1576665671,"1,929,425",Analyze,Apparel Manufacturing,,,,,,,,,
FIGS,"FIGS, Inc.",Health Care,US Equity,Common stocks,Small cap,1209085467,"5,167,600",Analyze,Apparel Manufacturing,,,,,,,,,
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,Consumer Discretionary,US Equity,Common stocks,Small cap,983400983,"1,304,224",Analyze,Apparel Manufacturing,,,,,,,,,
SGC,Superior Uniform Group Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,166136510,"54,637",Analyze,Apparel Manufacturing,,,,,,,,,
LAKE,Lakeland Industries Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,106709095,"37,582",Analyze,Apparel Manufacturing,,,,,,,,,
VNCE,Vince Holding Corp,Consumer Discretionary,US Equity,Common stocks,Micro cap,93685436,"5,235",Analyze,Apparel Manufacturing,,,,,,,,,
DLA,Delta Apparel Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,82987956,"31,311",Analyze,Apparel Manufacturing,,,,,,,,,
JRSH,Jerash Holdings US Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,53145508,"11,867",Analyze,Apparel Manufacturing,,,,,,,,,
XELB,Xcel Brands Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,15517378,"8,233",Analyze,Apparel Manufacturing,,,,,,,,,
EVK,Ever-Glory International Group Inc.,Materials,US Equity,Common stocks,Micro cap,9258148,"12,963",Analyze,Apparel Manufacturing,,,,,,,,,
LLL,JX Luxventure Limited,Consumer Discretionary,US Equity,Common stocks,Micro cap,6242814,"46,060",Analyze,Apparel Manufacturing,,,,,,,,,
TJX,"TJX Companies, Inc.",Consumer Discretionary,US Equity,Common stocks,Large cap,91700809265,"6,678,378",Analyze,Apparel Retail,,,,,,,,,
LULU,Lululemon Athletica Inc,Consumer Discretionary,US Equity,Common stocks,Large cap,45252240240,"1,413,164",Analyze,Apparel Retail,,,,,,,,,
ROST,Ross Stores Inc,Consumer Discretionary,US Equity,Common stocks,Large cap,40443228434,"3,302,162",Analyze,Apparel Retail,,,,,,,,,
BURL,Burlington Stores Inc,Consumer Discretionary,US Equity,Common stocks,Large cap,13086352137,"1,666,284",Analyze,Apparel Retail,,,,,,,,,
GPS,Gap Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,5306337786,"10,453,160",Analyze,Apparel Retail,,,,,,,,,
ONON,On Holding AG,Consumer Discretionary,US Equity,Common stocks,Mid cap,4958627416,"2,614,534",Analyze,Apparel Retail,,,,,,,,,
VSCO,Victorias Secret & Co.,Consumer Discretionary,US Equity,Common stocks,Mid cap,3550732834,"1,383,559",Analyze,Apparel Retail,,,,,,,,,
AEO,American Eagle Outfitters Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,2920534893,"6,410,828",Analyze,Apparel Retail,,,,,,,,,
CRI,Carters Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,2718250056,"609,927",Analyze,Apparel Retail,,,,,,,,,
